date,items,mom,peso
2016-09-01,7305,4.18,0.0033
2016-09-01,7306,-4.16,0.0268
2016-09-01,7307,2.12,0.0027
2016-09-01,7310,-1.03,0.0133
2016-09-01,7311,6.22,0.0423
2016-09-01,7312,-7.72,0.003
2016-09-01,7313,-1.41,0.0064
2016-09-01,7316,6.0,0.0006
2016-09-01,7317,2.3,0.0066
2016-09-01,7320,-3.05,0.0599
2016-09-01,7323,6.74,0.0064
2016-09-01,7333,-5.39,0.0183
2016-09-01,7335,0.16,0.8111
2016-09-01,7336,-1.22,0.1278
2016-09-01,7339,0.05,0.3047
2016-09-01,7341,2.05,0.0957
2016-09-01,7347,-1.32,0.0159
2016-09-01,7349,0.08,1.0974
2016-09-01,7355,-2.52,0.2402
2016-09-01,7356,-3.09,2.4094
2016-09-01,7358,8.26,0.0199
2016-09-01,7359,5.64,0.2572
2016-09-01,7360,6.03,0.0028
2016-09-01,7367,-0.09,0.0317
2016-09-01,7372,-0.11,1.9716
2016-09-01,7373,0.44,0.4739
2016-09-01,7375,-0.07,1.1344
2016-09-01,7376,0.52,0.1037
2016-09-01,7377,-1.61,0.1281
2016-09-01,7378,-2.01,0.1104
2016-09-01,7380,1.35,0.021
2016-09-01,7384,-0.67,0.4565
2016-09-01,7385,-1.03,0.2704
2016-09-01,7386,-0.71,0.0295
2016-09-01,7389,0.92,1.8831
2016-09-01,7390,0.47,0.1572
2016-09-01,7392,1.55,0.3775
2016-09-01,7393,2.4,0.0157
2016-09-01,7396,0.76,0.3906
2016-09-01,7397,0.8,0.1164
2016-09-01,7401,0.34,0.1598
2016-09-01,7402,2.34,0.007
2016-09-01,7406,-1.05,0.0141
2016-09-01,7407,-1.68,0.0049
2016-09-01,7411,-1.23,0.0095
2016-09-01,7412,1.2,0.0293
2016-09-01,7415,-2.46,0.4704
2016-09-01,7416,-3.52,0.005
2016-09-01,7418,-7.45,0.1515
2016-09-01,7422,-1.65,0.0085
2016-09-01,7423,-0.4,0.0507
2016-09-01,7424,0.05,0.0054
2016-09-01,7425,-0.98,0.0273
2016-09-01,7428,0.24,0.0578
2016-09-01,7432,0.33,8.757
2016-09-01,7434,0.07,5.1234
2016-09-01,7435,0.65,2.0384
2016-09-01,7436,1.63,0.1102
2016-09-01,7438,2.17,0.0789
2016-09-01,7440,0.35,0.699
2016-09-01,7443,0.82,0.0685
2016-09-01,7444,1.48,0.2594
2016-09-01,7445,0.63,15.243
2016-09-01,7446,0.45,10.5266
2016-09-01,7447,0.48,7.2261
2016-09-01,7448,0.49,3.9453
2016-09-01,7449,0.91,1.6244
2016-09-01,7451,0.02,1.6401
2016-09-01,7453,0.98,0.0164
2016-09-01,7454,0.45,2.4107
2016-09-01,7455,-0.23,0.0464
2016-09-01,7456,-0.55,0.023
2016-09-01,7457,-0.78,0.03
2016-09-01,7459,0.38,0.2283
2016-09-01,7461,0.19,0.8898
2016-09-01,7464,0.18,0.0592
2016-09-01,7465,-0.27,0.135
2016-09-01,7466,0.35,0.3547
2016-09-01,7467,0.98,0.0524
2016-09-01,7468,0.46,0.0055
2016-09-01,7470,0.89,0.0965
2016-09-01,7471,-0.86,0.0467
2016-09-01,7479,1.04,4.7164
2016-09-01,7480,3.68,1.2062
2016-09-01,7481,0.58,0.0074
2016-09-01,7482,3.92,1.1303
2016-09-01,7483,0.01,0.0685
2016-09-01,7484,0.14,3.5101
2016-09-01,7486,-0.23,4.2291
2016-09-01,7487,-0.21,2.1598
2016-09-01,7488,-0.65,1.31
2016-09-01,7489,-1.76,0.5498
2016-09-01,7490,-0.41,0.4527
2016-09-01,7492,0.69,0.1821
2016-09-01,7493,1.51,0.114
2016-09-01,7495,0.63,0.5338
2016-09-01,7497,-1.07,0.0845
2016-09-01,7498,1.33,0.0824
2016-09-01,7508,0.35,0.0224
2016-09-01,7517,0.19,0.316
2016-09-01,7518,0.3,0.2348
2016-09-01,7520,-0.12,0.0812
2016-09-01,7521,-0.41,1.7164
2016-09-01,7522,0.1,1.0141
2016-09-01,7523,0.08,0.46
2016-09-01,7526,-1.29,0.205
2016-09-01,7529,2.89,0.003
2016-09-01,7530,-0.43,0.0259
2016-09-01,7531,1.23,0.2091
2016-09-01,7539,-0.27,0.0213
2016-09-01,7540,1.25,0.0539
2016-09-01,7541,-1.15,0.7023
2016-09-01,7542,-0.59,0.2002
2016-09-01,7543,0.28,0.0732
2016-09-01,7547,-1.88,0.3567
2016-09-01,7548,0.52,0.3529
2016-09-01,7551,0.62,0.0047
2016-09-01,7555,0.18,0.1389
2016-09-01,7558,0.43,5.9278
